reference_id	reference_length	recalled	matching_prediction_count	matching_prediction_ids
AP018534.1	5962	false	0	
CP000643.1	2101	true	1	k141_1434
CP001058.1	2089	true	1	k141_1434
CP023648.1	2136	true	1	k141_1434
HE616531.1	2089	true	1	k141_1434
HG796346.1	3411	true	1	k141_1441
HG796374.1	2774	false	0	
HG796434.1	1976	false	0	
HG796777.1	4785	false	0	
HG796786.1	3057	true	1	k141_1182
HG796812.1	2773	false	0	
HG796820.1	2261	false	0	
HG796849.1	1705	false	0	
HG796854.1	1606	false	0	
KJ484633.1	1822	true	1	k141_1052
KM107846.1	1549	true	1	k141_440
KM659094.1	6235	true	1	k141_1080
KX009020.1	1598	true	1	k141_440
KX009021.1	1639	true	1	k141_956
LT985311.1	5631	true	1	k141_1097
MF156267.1	1982	false	0	
MG649065.1	5167	true	1	k141_481
NC_001378.1	2083	true	1	k141_1434
NC_005002.1	1983	false	0	
NC_005026.1	2747	true	1	k141_902
NC_008486.1	1902	true	1	k141_1052
NC_009781.1	5146	true	1	k141_481
NC_011073.1	5594	true	1	k141_1061
NC_017629.1	1564	true	1	k141_956
NC_017648.1	5163	true	1	k141_481
NC_018660.1	1549	true	1	k141_440
NC_018663.1	1549	true	1	k141_440
NC_019059.1	1546	true	1	k141_440
NC_019068.1	1460	false	0	
NC_019127.1	1981	false	0	
NC_019251.1	1549	true	1	k141_440
NZ_CP003996.1	2459	false	0	
NZ_CP008716.1	5167	true	1	k141_481
NZ_CP008719.1	2101	true	1	k141_1434
NZ_CP008720.1	1544	true	1	k141_440
NZ_CP008721.1	1459	false	0	
NZ_CP010877.1	1506	false	0	
NZ_CP010879.1	5167	true	1	k141_481
NZ_CP011138.1	5631	true	1	k141_1097
NZ_CP011139.1	5164	true	1	k141_481
NZ_CP011141.1	2089	true	1	k141_1434
NZ_CP011142.1	1783	true	1	k141_166
NZ_CP011435.1	2677	false	0	
NZ_CP012630.1	1551	true	1	k141_440
NZ_CP012637.1	5167	true	1	k141_481
NZ_CP014317.1	1552	true	1	k141_440
NZ_CP014318.1	5167	true	1	k141_481
NZ_CP014319.1	5631	true	1	k141_1097
NZ_CP015143.1	1549	true	1	k141_440
NZ_CP016566.1	2246	false	0	
NZ_CP018967.1	5167	true	1	k141_481
NZ_CP018985.1	5631	true	1	k141_1097
NZ_CP018997.1	4921	true	1	k141_481
NZ_CP019021.1	1459	false	0	
NZ_CP023253.1	1907	true	1	k141_166
NZ_CP023506.1	1509	false	0	
NZ_CP023898.1	5162	true	1	k141_481
NZ_CP023901.1	1552	true	1	k141_440
NZ_CP023902.1	2101	true	1	k141_1434
NZ_CP024719.1	5162	true	1	k141_481
NZ_CP024722.1	5167	true	1	k141_481
NZ_CP024803.1	2088	true	1	k141_1434
NZ_CP026575.2	2444	false	0	
NZ_CP027132.1	2101	true	1	k141_1434
NZ_CP027201.2	2088	true	1	k141_1434
NZ_CP028175.1	5572	true	1	k141_1097
NZ_CP028575.2	1564	true	1	k141_956
NZ_CP028586.1	5167	true	1	k141_481
NZ_CP028780.1	2442	false	0	
NZ_CP029105.1	2101	true	1	k141_1434
NZ_CP029106.1	1546	true	1	k141_440
NZ_CP029109.1	1565	true	1	k141_956
NZ_CP029183.1	1551	true	1	k141_440
NZ_CP029366.1	2101	true	1	k141_1434
NZ_CP029581.1	2101	true	1	k141_1434
NZ_CP030115.1	2113	true	1	k141_1434
NZ_CP030116.1	1983	false	0	
NZ_CP032421.1	2444	false	0	
NZ_CP032517.1	4724	true	1	k141_481
NZ_CP032887.1	1902	true	1	k141_1052
NZ_CP033398.1	2088	true	1	k141_1434
NZ_CP033766.1	2101	true	1	k141_1434
NZ_CP033852.1	1459	false	0	
