created_at	2026-07-23T02:50:15+08:00
assembly_dir	/root/autodl-tmp/abi-real-data/references/scapp/independent_truth_20260717/metaspades_screen
abi_git_commit	3244629d0c0f262c00af9b8308f6cddacaffae31
abi_git_dirty	true
truth_builder_sha256	cc97fdd932e699d167b0eaf175a69b20c95fa36947e155672fb6dfd6a429b650
prediction_scorer_sha256	388f0c693d9e23062e063e15e4b33412d4d68c67b7b089b449daa9a76417f19f
evidence_builder_sha256	78343f3dfc54a783b8212a6700a2b849a4e295f28798926a938861783b8d0e17
assembly_contigs_sha256	741966cc7f5ea442da169c30399691db8f37470322a86413857007d3a6ef3218
plsdb_fasta_sha256	46c74eaa6f953896422cb5465a88008e0f72af2f36fa5bfcdc2521638c4d461e
predictions_fasta_sha256	8927e76a650745d1c649c8e4763cede28217e4cf4f7ad006ce825e7d7dd5d4c6
plsdb_input_records	14739
paper_reported_deduplicated_plsdb_records	13469
database_scope_note	Official 2018-12-05 archive contains 14739 records; the paper-specific 13469-record deduplication list was not published.
scapp_supplement_sha256	aed4604eddba0d017e304695c350f7d958a909c5b5e6c1cb246aaa47289fce05
plsdb_exact_duplicate_scan_sha256	2d9630846ca779de8d094c20c538122a3f9d9a0ed2069c14f172e953fe8853d6
spades_version	/usr/bin/env: ‘python3’: No such file or directory
blastn_version	blastn: 2.16.0+
threads	16
blast_max_target_seqs	20000
evidence_id	scapp_srr11038083_plsdb_2018_12_05_paper_method_v2
